customer_id,total_spent,previous_purchases,avg_order_value,product_views,add_to_cart,session_duration,days_since_last_purchase_capped,customer_lifetime_value,sessions,purchase_rate,cluster,segment
CUST100025,5551.11,2,2775.555,3.0,0.0,2.98,289,6900.91,1,0.0,3,High Value Customers
CUST100026,1186.39,1,1186.39,1.0,1.0,3.38,242,1590.64,1,0.0,0,Potential Customers
CUST100027,575.98,2,287.99,2.0,3.0,4.43,6,1266.45,1,1.0,1,Loyal Customers
CUST100028,1031.31,1,1031.31,5.0,0.0,4.27,216,1492.71,1,0.0,0,Potential Customers
CUST100029,0.0,0,0.0,5.0,0.0,3.68,400,0.0,1,1.0,2,At-Risk Customers
CUST100030,6266.99,2,3133.495,1.0,0.0,9.88,70,8030.06,1,0.0,3,High Value Customers
CUST100031,3514.96,4,878.74,1.0,0.0,2.12,68,5200.9,1,0.0,3,High Value Customers
CUST100032,2592.84,1,2592.84,1.0,0.0,7.65,102,3415.27,1,0.0,0,Potential Customers
CUST100033,4368.82,2,2184.41,8.0,3.0,16.27,143,5230.47,1,1.0,1,Loyal Customers
CUST100034,0.0,0,0.0,3.0,0.0,1.45,400,10.69,1,0.0,2,At-Risk Customers
CUST100035,10578.72,4,2644.68,0.0,0.0,1.04,242,12402.12,1,0.0,3,High Value Customers
CUST100036,1569.77,1,1569.77,3.0,0.0,4.62,203,1900.1,1,0.0,0,Potential Customers
CUST100037,2256.84,1,2256.84,2.0,0.0,6.38,249,3094.33,1,0.0,0,Potential Customers
CUST100038,0.0,0,0.0,2.0,0.0,4.16,400,0.0,1,0.0,2,At-Risk Customers
CUST100039,0.0,0,0.0,1.0,0.0,0.92,400,0.0,1,0.0,2,At-Risk Customers
CUST100040,4348.91,2,2174.455,2.0,0.0,1.25,42,5223.61,1,0.0,0,Potential Customers
CUST100041,0.0,0,0.0,4.0,0.0,2.84,400,67.0,1,0.0,2,At-Risk Customers
CUST100042,3068.03,2,1534.015,1.0,3.0,5.43,297,3870.48,1,1.0,1,Loyal Customers
CUST100043,299.26,1,299.26,0.0,0.0,3.16,256,733.06,1,0.0,2,At-Risk Customers
CUST100044,0.0,0,0.0,2.0,0.0,4.71,400,0.0,1,0.0,2,At-Risk Customers
CUST100045,1147.47,1,1147.47,1.0,0.0,4.62,258,1562.26,1,0.0,0,Potential Customers
CUST100046,5491.42,2,2745.71,2.0,0.0,7.78,342,6983.0,1,0.0,3,High Value Customers
CUST100047,3770.37,2,1885.185,3.0,0.0,23.312000000000044,337,5312.64,1,1.0,0,Potential Customers
CUST100048,0.0,0,0.0,1.0,0.0,4.31,400,0.0,1,0.0,2,At-Risk Customers
CUST100049,4055.03,2,2027.515,2.0,0.0,11.1,145,5760.01,1,0.0,0,Potential Customers
CUST100050,0.0,0,0.0,1.0,0.0,2.33,400,64.16,1,0.0,2,At-Risk Customers
CUST100051,0.0,0,0.0,1.0,0.0,2.61,400,0.0,1,0.0,2,At-Risk Customers
CUST100052,4691.53,2,2345.765,1.0,0.0,4.31,233,6646.34,1,0.0,3,High Value Customers
CUST100053,0.0,0,0.0,1.0,0.0,1.93,400,47.97,1,1.0,2,At-Risk Customers
CUST100054,0.0,0,0.0,2.0,0.0,1.79,400,0.0,1,0.0,2,At-Risk Customers
CUST100055,3786.76,2,1893.38,3.0,0.0,3.18,261,4305.22,1,0.0,0,Potential Customers
CUST100056,0.0,0,0.0,2.0,0.0,3.42,400,0.0,1,0.0,2,At-Risk Customers
CUST100057,1395.99,2,697.995,2.0,0.0,6.86,29,2414.29,1,0.0,0,Potential Customers
CUST100058,8438.45,3,2812.816666666667,1.0,0.0,2.16,23,10954.73,1,0.0,3,High Value Customers
CUST100059,8584.94,4,2146.235,3.0,0.0,4.14,341,11630.71,1,1.0,3,High Value Customers
CUST100060,0.0,0,0.0,1.0,0.0,9.62,400,4.85,1,1.0,2,At-Risk Customers
CUST100061,3776.22,2,1888.11,3.0,0.0,9.23,228,4573.76,1,0.0,0,Potential Customers
CUST100062,4685.28,2,2342.64,1.0,0.0,3.75,22,6800.9,1,0.0,3,High Value Customers
CUST100063,0.0,0,0.0,3.0,1.0,4.63,400,0.0,1,0.0,2,At-Risk Customers
CUST100064,0.0,0,0.0,1.0,0.0,2.15,400,116.78,1,0.0,2,At-Risk Customers
CUST100065,5419.29,2,2709.645,4.0,0.0,4.96,3,7044.53,1,0.0,3,High Value Customers
CUST100066,0.0,0,0.0,2.0,0.0,11.84,400,39.27,1,0.0,2,At-Risk Customers
CUST100067,7196.99,3,2398.9966666666664,2.0,0.0,10.07,25,10385.93,1,0.0,3,High Value Customers
CUST100068,6369.09,2,3184.545,1.0,0.0,4.02,196,8998.45,1,0.0,3,High Value Customers
CUST100069,1593.7,1,1593.7,2.0,0.0,5.17,95,2074.8,1,0.0,0,Potential Customers
CUST100070,0.0,0,0.0,0.0,0.0,2.42,400,0.0,1,0.0,2,At-Risk Customers
CUST100071,1906.44,1,1906.44,1.0,0.0,2.12,220,2458.62,1,1.0,0,Potential Customers
CUST100072,2582.17,1,2582.17,3.0,0.0,3.14,185,3730.02,1,0.0,0,Potential Customers
CUST100073,1158.84,1,1158.84,3.0,0.0,4.9,156,1708.17,1,0.0,0,Potential Customers
CUST100074,1682.8,1,1682.8,2.0,0.0,6.72,347,2071.14,1,0.0,0,Potential Customers
CUST100075,1638.64,1,1638.64,1.0,0.0,3.84,95,2003.83,1,0.0,0,Potential Customers
CUST100076,1888.06,2,944.03,6.0,1.0,5.52,125,2639.03,1,0.0,0,Potential Customers
CUST100077,1547.73,1,1547.73,1.0,0.0,0.76,248,2013.54,1,0.0,0,Potential Customers
CUST100078,0.0,0,0.0,0.0,0.0,4.57,400,38.65,1,0.0,2,At-Risk Customers
CUST100079,329.41,1,329.41,0.0,0.0,2.63,56,503.25,1,0.0,0,Potential Customers
CUST100080,570.64,2,285.32,4.0,0.0,1.69,335,1307.4,1,0.0,2,At-Risk Customers
CUST100081,6600.46,3,2200.153333333333,2.0,0.0,5.57,14,8274.16,1,0.0,3,High Value Customers
CUST100082,0.0,0,0.0,3.0,0.0,11.17,400,115.36,1,0.0,2,At-Risk Customers
CUST100083,0.0,0,0.0,2.0,0.0,4.02,400,302.49,1,0.0,2,At-Risk Customers
CUST100084,321.24,1,321.24,3.0,0.0,7.51,354,608.68,1,0.0,2,At-Risk Customers
CUST100085,2113.48,1,2113.48,2.0,0.0,3.03,184,2871.32,1,0.0,0,Potential Customers
CUST100086,489.26,1,489.26,4.0,1.0,17.06,143,667.86,1,1.0,0,Potential Customers
CUST100087,4019.91,2,2009.955,2.0,0.0,1.35,327,5011.52,1,0.0,0,Potential Customers
CUST100088,6593.2,3,2197.733333333333,0.0,0.0,3.78,176,9428.17,1,1.0,3,High Value Customers
CUST100089,0.0,0,0.0,4.0,1.0,6.86,400,8.13,1,1.0,2,At-Risk Customers
CUST100090,0.0,0,0.0,1.0,0.0,3.97,400,0.0,1,0.0,2,At-Risk Customers
CUST100091,2231.23,1,2231.23,2.0,0.0,10.63,190,2856.94,1,0.0,0,Potential Customers
CUST100092,1348.64,1,1348.64,0.0,0.0,0.95,110,1525.72,1,0.0,0,Potential Customers
CUST100093,328.29,1,328.29,1.0,0.0,3.75,297,717.0,1,0.0,2,At-Risk Customers
CUST100094,1757.41,2,878.705,4.0,0.0,3.41,19,2868.52,1,1.0,0,Potential Customers
CUST100095,432.85,1,432.85,1.0,0.0,3.75,158,855.68,1,1.0,0,Potential Customers
CUST100096,1032.68,1,1032.68,5.0,0.0,1.34,50,1311.86,1,0.0,0,Potential Customers
CUST100097,0.0,0,0.0,1.0,0.0,3.31,400,28.8,1,0.0,2,At-Risk Customers
CUST100098,0.0,0,0.0,2.0,0.0,3.2,400,0.0,1,0.0,2,At-Risk Customers
CUST100099,6615.74,2,3307.87,3.0,1.0,4.81,323,9147.29,1,1.0,3,High Value Customers
CUST100100,0.0,0,0.0,2.0,0.0,8.75,400,121.54,1,0.0,2,At-Risk Customers
CUST100101,0.0,0,0.0,5.0,0.0,4.38,400,154.16,1,0.0,2,At-Risk Customers
CUST100102,0.0,0,0.0,1.0,3.0,5.43,400,117.53,1,0.0,1,Loyal Customers
CUST100103,2926.83,1,2926.83,1.0,3.0,9.78,262,3639.09,1,0.0,1,Loyal Customers
CUST100104,6267.64,3,2089.2133333333336,6.0,0.0,9.32,52,8398.84,1,0.0,3,High Value Customers
CUST100105,1462.08,1,1462.08,1.0,0.0,0.76,235,2406.65,1,0.0,0,Potential Customers
CUST100106,5600.91,3,1866.97,1.0,0.0,7.09,50,7590.97,1,1.0,3,High Value Customers
CUST100107,2706.69,1,2706.69,3.0,0.0,7.06,129,3511.12,1,1.0,0,Potential Customers
CUST100108,0.0,0,0.0,2.0,0.0,3.38,400,188.11,1,0.0,2,At-Risk Customers
CUST100109,0.0,0,0.0,1.0,0.0,2.94,400,279.56,1,0.0,2,At-Risk Customers
CUST100110,2900.72,2,1450.36,0.0,0.0,1.84,284,4143.78,1,0.0,0,Potential Customers
CUST100111,7582.63,3,2527.5433333333335,2.0,0.0,1.04,354,9174.52,1,0.0,3,High Value Customers
CUST100112,5420.51,2,2710.255,1.0,0.0,7.35,186,7069.87,1,0.0,3,High Value Customers
CUST100113,315.06,1,315.06,3.0,0.0,6.93,54,864.0,1,0.0,0,Potential Customers
CUST100114,3983.04,2,1991.52,2.0,0.0,3.78,133,4970.78,1,0.0,0,Potential Customers
CUST100115,0.0,0,0.0,3.0,0.0,6.67,400,70.47,1,0.0,2,At-Risk Customers
CUST100116,2599.14,1,2599.14,4.0,0.0,8.3,213,3087.92,1,0.0,0,Potential Customers
CUST100117,0.0,0,0.0,3.0,0.0,1.15,400,0.0,1,0.0,2,At-Risk Customers
CUST100118,0.0,0,0.0,2.0,0.0,4.02,400,0.0,1,0.0,2,At-Risk Customers
CUST100119,4532.2,1,4532.2,6.0,0.0,3.42,58,5488.0,1,0.0,0,Potential Customers
CUST100120,0.0,0,0.0,3.0,0.0,5.49,400,144.89,1,0.0,2,At-Risk Customers
CUST100121,2048.6,1,2048.6,3.0,0.0,4.62,38,2903.11,1,0.0,0,Potential Customers
CUST100122,1357.75,1,1357.75,1.0,3.0,6.95,194,1772.43,1,0.0,1,Loyal Customers
CUST100123,4768.3,2,2384.15,1.0,0.0,1.34,214,6308.47,1,0.0,3,High Value Customers
CUST100124,964.04,2,482.02,5.0,0.0,10.17,185,2196.17,1,0.0,0,Potential Customers
CUST100125,662.17,1,662.17,2.0,0.0,2.81,243,1103.05,1,0.0,0,Potential Customers
CUST100126,1878.77,1,1878.77,3.0,0.0,3.69,270,2359.45,1,0.0,0,Potential Customers
CUST100127,3072.74,1,3072.74,5.0,0.0,1.18,240,4181.39,1,1.0,0,Potential Customers
CUST100128,11589.14840000001,4,2897.2871000000023,1.0,0.0,3.77,269,13607.62,1,0.0,3,High Value Customers
CUST100129,7581.6,5,1516.3200000000002,1.0,0.0,4.0,189,11975.14,1,1.0,3,High Value Customers
CUST100130,0.0,0,0.0,4.0,0.0,3.83,400,0.0,1,0.0,2,At-Risk Customers
CUST100131,3570.08,1,3570.08,1.0,0.0,2.42,60,4808.91,1,0.0,0,Potential Customers
CUST100132,2400.43,1,2400.43,6.0,0.0,1.73,202,3437.17,1,0.0,0,Potential Customers
CUST100133,2679.66,1,2679.66,1.0,0.0,6.35,138,3465.82,1,1.0,0,Potential Customers
CUST100134,4767.01,2,2383.505,2.0,0.0,1.2,78,6107.33,1,1.0,3,High Value Customers
CUST100135,4824.28,2,2412.14,3.0,0.0,7.12,259,6354.59,1,1.0,3,High Value Customers
CUST100136,0.0,0,0.0,7.0,0.0,13.28,400,58.58,1,0.0,2,At-Risk Customers
CUST100137,1097.51,1,1097.51,3.0,0.0,19.14,109,1430.35,1,0.0,0,Potential Customers
CUST100138,3182.32,2,1591.16,4.0,0.0,1.9,267,4456.16,1,0.0,0,Potential Customers
CUST100139,0.0,0,0.0,3.0,0.0,6.13,400,0.0,1,0.0,2,At-Risk Customers
CUST100140,1553.04,2,776.52,2.0,0.0,2.74,17,2368.19,1,1.0,0,Potential Customers
CUST100141,1310.1,2,655.05,5.0,0.0,9.56,114,2379.71,1,0.0,0,Potential Customers
CUST100142,1443.13,2,721.565,6.0,0.0,5.34,235,2373.11,1,0.0,0,Potential Customers
CUST100143,4157.62,2,2078.81,4.0,0.0,3.3,42,4734.31,1,0.0,0,Potential Customers
CUST100144,2654.31,1,2654.31,3.0,0.0,2.14,126,3380.04,1,0.0,0,Potential Customers
CUST100145,5860.96,2,2930.48,3.0,0.0,3.13,93,6878.11,1,0.0,3,High Value Customers
CUST100146,5371.66,2,2685.83,1.0,0.0,2.53,242,7614.67,1,0.0,3,High Value Customers
CUST100147,5002.48,2,2501.24,3.0,2.0,3.99,158,6027.88,1,0.0,1,Loyal Customers
CUST100148,1289.69,1,1289.69,0.0,0.0,4.13,300,1933.97,1,0.0,0,Potential Customers
CUST100149,0.0,0,0.0,2.0,0.0,2.75,400,54.66,1,0.0,2,At-Risk Customers
CUST100150,8168.64,5,1633.728,1.0,0.0,2.58,168,10802.06,1,1.0,3,High Value Customers
CUST100151,6519.46,2,3259.73,1.0,0.0,6.29,259,8579.72,1,0.0,3,High Value Customers
CUST100152,10080.54,3,3360.1800000000003,4.0,0.0,6.62,349,12701.97,1,0.0,3,High Value Customers
CUST100153,1543.24,1,1543.24,2.0,0.0,2.3,244,2355.37,1,0.0,0,Potential Customers
CUST100154,1215.36,1,1215.36,5.0,0.0,3.9,40,1681.21,1,1.0,0,Potential Customers
CUST100155,0.0,0,0.0,1.0,0.0,2.21,400,0.0,1,0.0,2,At-Risk Customers
CUST100156,0.0,0,0.0,6.0,0.0,23.312000000000044,400,100.11,1,0.0,2,At-Risk Customers
CUST100157,2223.54,4,555.885,0.0,0.0,2.1,180,3881.93,1,0.0,0,Potential Customers
CUST100158,3945.78,2,1972.89,1.0,0.0,4.84,223,5441.76,1,0.0,0,Potential Customers
CUST100159,9362.87,4,2340.7175,5.0,0.0,5.54,50,13127.9,1,1.0,3,High Value Customers
CUST100160,0.0,0,0.0,0.0,0.0,2.55,400,0.0,1,0.0,2,At-Risk Customers
CUST100161,2776.41,1,2776.41,6.0,0.0,2.22,108,3683.72,1,0.0,0,Potential Customers
CUST100162,1729.2,1,1729.2,3.0,0.0,3.33,221,2125.76,1,0.0,0,Potential Customers
CUST100163,0.0,0,0.0,4.0,0.0,2.21,400,3.94,1,0.0,2,At-Risk Customers
CUST100164,0.0,0,0.0,1.0,0.0,4.63,400,0.0,1,0.0,2,At-Risk Customers
CUST100165,0.0,0,0.0,3.0,0.0,2.24,400,2.66,1,0.0,2,At-Risk Customers
CUST100166,0.0,0,0.0,2.0,0.0,4.49,400,38.48,1,0.0,2,At-Risk Customers
CUST100167,996.39,2,498.195,1.0,0.0,0.96,363,1667.21,1,0.0,2,At-Risk Customers
CUST100168,3012.27,1,3012.27,4.0,0.0,2.31,98,4044.91,1,0.0,0,Potential Customers
CUST100169,0.0,0,0.0,4.0,0.0,3.02,400,140.13,1,0.0,2,At-Risk Customers
CUST100170,3797.13,2,1898.565,2.0,0.0,8.17,14,5154.46,1,0.0,0,Potential Customers
CUST100171,0.0,0,0.0,1.0,0.0,1.11,400,0.0,1,0.0,2,At-Risk Customers
CUST100172,0.0,0,0.0,2.0,0.0,8.25,400,109.47,1,0.0,2,At-Risk Customers
CUST100173,681.26,1,681.26,3.0,0.0,6.44,241,1290.55,1,0.0,0,Potential Customers
CUST100174,4509.97,2,2254.985,1.0,0.0,1.16,258,5592.92,1,0.0,0,Potential Customers
CUST100175,0.0,0,0.0,3.0,0.0,5.91,400,0.0,1,0.0,2,At-Risk Customers
CUST100176,0.0,0,0.0,6.0,0.0,2.11,400,0.0,1,0.0,2,At-Risk Customers
CUST100177,0.0,0,0.0,3.0,0.0,6.05,400,134.32,1,0.0,2,At-Risk Customers
CUST100178,4506.24,2,2253.12,0.0,0.0,6.31,99,5314.22,1,0.0,0,Potential Customers
CUST100179,2185.44,3,728.48,3.0,0.0,7.07,61,3470.34,1,0.0,0,Potential Customers
CUST100180,2859.37,2,1429.685,2.0,0.0,2.72,218,3652.61,1,0.0,0,Potential Customers
CUST100181,516.44,2,258.22,1.0,0.0,6.54,1,1242.52,1,0.0,0,Potential Customers
CUST100182,0.0,0,0.0,3.0,0.0,11.92,400,0.0,1,0.0,2,At-Risk Customers
CUST100183,909.24,1,909.24,1.0,0.0,3.31,247,1184.27,1,0.0,0,Potential Customers
CUST100184,3019.85,2,1509.925,6.0,0.0,3.61,52,3520.22,1,0.0,0,Potential Customers
CUST100185,1452.49,1,1452.49,3.0,0.0,6.67,95,1889.22,1,0.0,0,Potential Customers
CUST100186,1617.48,1,1617.48,1.0,0.0,0.76,144,1981.84,1,0.0,0,Potential Customers
CUST100187,0.0,0,0.0,1.0,0.0,2.04,400,0.0,1,0.0,2,At-Risk Customers
CUST100188,0.0,0,0.0,2.0,0.0,8.21,400,0.0,1,0.0,2,At-Risk Customers
CUST100189,0.0,0,0.0,3.0,2.0,4.52,400,0.0,1,0.0,1,Loyal Customers
CUST100190,1222.05,1,1222.05,2.0,0.0,3.49,30,1545.51,1,1.0,0,Potential Customers
CUST100191,0.0,0,0.0,0.0,0.0,2.1,400,129.27,1,0.0,2,At-Risk Customers
CUST100192,3304.29,1,3304.29,0.0,0.0,4.13,114,4296.97,1,0.0,0,Potential Customers
CUST100193,3703.05,2,1851.525,1.0,0.0,2.8,58,4953.65,1,0.0,0,Potential Customers
CUST100194,0.0,0,0.0,1.0,0.0,1.19,400,0.0,1,0.0,2,At-Risk Customers
CUST100195,5889.85,2,2944.925,3.0,0.0,10.09,104,7042.25,1,0.0,3,High Value Customers
CUST100196,0.0,0,0.0,6.0,0.0,2.49,400,0.0,1,0.0,2,At-Risk Customers
CUST100197,0.0,0,0.0,3.0,0.0,3.35,400,0.0,1,0.0,2,At-Risk Customers
CUST100198,4630.0,2,2315.0,1.0,0.0,1.16,76,6237.9,1,0.0,3,High Value Customers
CUST100199,2130.65,2,1065.325,1.0,0.0,2.79,20,2943.07,1,0.0,0,Potential Customers
CUST100200,0.0,0,0.0,7.0,1.0,8.2,400,0.0,1,0.0,2,At-Risk Customers
CUST100201,2778.66,1,2778.66,1.0,0.0,7.78,140,3732.32,1,0.0,0,Potential Customers
CUST100202,2596.72,1,2596.72,6.0,0.0,4.13,317,3481.87,1,0.0,0,Potential Customers
CUST100203,0.0,0,0.0,3.0,0.0,2.62,400,39.79,1,1.0,2,At-Risk Customers
CUST100204,409.28,1,409.28,3.0,0.0,4.13,221,891.5,1,0.0,2,At-Risk Customers
CUST100205,1808.14,1,1808.14,2.0,0.0,5.78,105,2176.86,1,0.0,0,Potential Customers
CUST100206,0.0,0,0.0,0.0,0.0,1.42,400,0.0,1,0.0,2,At-Risk Customers
CUST100207,566.46,1,566.46,1.0,0.0,4.83,288,981.84,1,0.0,2,At-Risk Customers
CUST100208,0.0,0,0.0,3.0,0.0,6.93,400,0.0,1,0.0,2,At-Risk Customers
CUST100209,1951.9,1,1951.9,0.0,0.0,3.89,105,2738.96,1,0.0,0,Potential Customers
CUST100210,2651.99,1,2651.99,1.0,0.0,4.0,184,3084.44,1,0.0,0,Potential Customers
CUST100211,4567.03,1,4567.03,2.0,0.0,2.44,160,5933.15,1,0.0,3,High Value Customers
CUST100212,5332.93,4,1333.2325,2.0,3.0,4.99,229,8416.94,1,1.0,1,Loyal Customers
CUST100213,5786.78,3,1928.9266666666665,2.0,0.0,12.5,69,7953.2,1,0.0,3,High Value Customers
CUST100214,1059.62,2,529.81,3.0,0.0,10.85,328,1947.35,1,0.0,0,Potential Customers
CUST100215,2830.22,1,2830.22,2.0,0.0,2.71,169,3918.9,1,0.0,0,Potential Customers
CUST100216,2658.2,2,1329.1,1.0,0.0,3.12,233,3964.8,1,0.0,0,Potential Customers
CUST100217,2683.27,2,1341.635,4.0,0.0,10.55,25,3542.6,1,0.0,0,Potential Customers
CUST100218,930.53,1,930.53,2.0,0.0,4.02,178,1604.93,1,0.0,0,Potential Customers
CUST100219,3746.34,2,1873.17,4.0,0.0,6.06,276,5637.29,1,0.0,0,Potential Customers
CUST100220,2027.53,1,2027.53,1.0,0.0,1.14,213,2396.21,1,0.0,0,Potential Customers
CUST100221,0.0,0,0.0,2.0,0.0,7.69,400,0.0,1,1.0,2,At-Risk Customers
CUST100222,0.0,0,0.0,1.0,0.0,3.33,400,0.0,1,0.0,2,At-Risk Customers
CUST100223,594.1,2,297.05,3.0,0.0,4.78,19,1383.31,1,0.0,0,Potential Customers
CUST100224,1168.52,1,1168.52,0.0,0.0,4.02,138,1859.33,1,0.0,0,Potential Customers
CUST100225,3055.39,1,3055.39,2.0,0.0,12.87,222,4162.57,1,0.0,0,Potential Customers
CUST100226,1993.37,1,1993.37,3.0,0.0,2.05,52,3019.59,1,0.0,0,Potential Customers
CUST100227,2410.67,3,803.5566666666667,8.0,0.0,15.91,112,3809.73,1,0.0,0,Potential Customers
CUST100228,1975.07,2,987.535,2.0,0.0,4.14,138,2781.47,1,0.0,0,Potential Customers
CUST100229,6959.05,3,2319.6833333333334,2.0,0.0,3.61,130,10159.21,1,0.0,3,High Value Customers
CUST100230,3200.76,2,1600.38,2.0,0.0,2.19,309,4612.94,1,0.0,0,Potential Customers
CUST100231,0.0,0,0.0,1.0,0.0,2.81,400,0.0,1,1.0,2,At-Risk Customers
CUST100232,0.0,0,0.0,2.0,0.0,3.52,400,0.0,1,0.0,2,At-Risk Customers
CUST100233,2848.96,1,2848.96,4.0,0.0,4.46,132,3449.4,1,0.0,0,Potential Customers
CUST100234,0.0,0,0.0,1.0,0.0,5.92,400,37.35,1,0.0,2,At-Risk Customers
CUST100235,1877.16,1,1877.16,3.0,0.0,3.5,218,2424.97,1,0.0,0,Potential Customers
CUST100236,1655.6,1,1655.6,7.0,0.0,5.91,50,1933.3,1,0.0,0,Potential Customers
CUST100237,3942.79,2,1971.395,4.0,0.0,9.28,303,5757.66,1,0.0,0,Potential Customers
CUST100238,1987.76,1,1987.76,1.0,0.0,8.51,185,2689.83,1,0.0,0,Potential Customers
CUST100239,8195.9,2,4097.95,1.0,0.0,6.29,194,10235.41,1,0.0,3,High Value Customers
CUST100240,0.0,0,0.0,2.0,0.0,5.76,400,0.0,1,0.0,2,At-Risk Customers
CUST100241,2109.1,1,2109.1,2.0,0.0,1.93,314,3067.74,1,0.0,0,Potential Customers
CUST100242,5620.23,4,1405.0575,3.0,0.0,4.69,50,8708.94,1,0.0,3,High Value Customers
CUST100243,3038.72,2,1519.36,4.0,0.0,1.9,156,4683.43,1,0.0,0,Potential Customers
CUST100244,0.0,0,0.0,5.0,0.0,8.26,400,77.12,1,0.0,2,At-Risk Customers
CUST100245,0.0,0,0.0,0.0,0.0,4.02,400,0.0,1,0.0,2,At-Risk Customers
CUST100246,0.0,0,0.0,2.0,0.0,8.94,400,0.0,1,0.0,2,At-Risk Customers
CUST100247,1405.41,1,1405.41,5.0,3.0,9.23,302,2124.95,1,1.0,1,Loyal Customers
CUST100248,4458.61,4,1114.6525,4.0,0.0,5.52,75,6576.94,1,1.0,3,High Value Customers
CUST100249,1941.74,1,1941.74,2.0,0.0,2.53,355,2792.48,1,0.0,0,Potential Customers
CUST100250,0.0,0,0.0,1.0,0.0,0.84,400,127.4,1,0.0,2,At-Risk Customers
CUST100251,0.0,0,0.0,2.0,0.0,5.93,400,29.11,1,0.0,2,At-Risk Customers
CUST100252,321.26,1,321.26,3.0,0.0,3.61,264,416.1,1,0.0,2,At-Risk Customers
CUST100253,2243.18,2,1121.59,3.0,0.0,7.1,137,3373.05,1,0.0,0,Potential Customers
CUST100254,3640.4,2,1820.2,2.0,0.0,6.61,182,4787.2,1,0.0,0,Potential Customers
CUST100255,1331.7,2,665.85,5.0,1.0,6.16,302,2467.91,1,1.0,0,Potential Customers
CUST100256,0.0,0,0.0,2.0,0.0,4.82,400,0.0,1,0.0,2,At-Risk Customers
CUST100257,993.2,1,993.2,0.0,0.0,1.27,125,1480.29,1,0.0,0,Potential Customers
CUST100258,0.0,0,0.0,2.0,0.0,9.82,400,0.0,1,0.0,2,At-Risk Customers
CUST100259,0.0,0,0.0,5.0,0.0,1.68,400,96.04,1,0.0,2,At-Risk Customers
CUST100260,3057.5,1,3057.5,1.0,0.0,2.58,91,4336.81,1,0.0,0,Potential Customers
CUST100261,1337.31,1,1337.31,4.0,0.0,3.22,260,1567.31,1,1.0,0,Potential Customers
CUST100262,0.0,0,0.0,2.0,0.0,4.11,400,93.85,1,0.0,2,At-Risk Customers
CUST100263,8274.54,3,2758.1800000000003,2.0,0.0,3.24,64,11281.16,1,1.0,3,High Value Customers
CUST100264,0.0,0,0.0,1.0,2.0,2.75,400,25.42,1,0.0,1,Loyal Customers
CUST100265,1805.02,1,1805.02,2.0,0.0,7.11,302,2555.95,1,1.0,0,Potential Customers
CUST100266,1177.22,1,1177.22,1.0,0.0,1.6,313,1846.7,1,0.0,0,Potential Customers
